id|name|url|additional_info|status|create_date|last_update_date
100|Тестовая электронная площадка|http://test.ru||ACTUAL|04.10.2012 08:32:43|04.10.2012 08:32:43
101|ЗАО «Сбербанк-АСТ» (94-ФЗ)|http://www.sberbank-ast.ru||ACTUAL|04.10.2012 09:41:00|25.02.2013 11:53:17
102|ОАО «Единая электронная торговая площадка»|http://etp.roseltorg.ru||ACTUAL|02.10.2012 11:46:28|02.10.2012 11:46:28
103|ГУП «Агентство по государственному заказу Республики Татарстан|http://etp.zakazrf.ru||ACTUAL|02.10.2012 11:46:54|02.10.2012 11:46:54
104|ЭТП ММВБ|http://etp-micex.ru||ACTUAL|03.10.2012 16:32:14|03.10.2012 16:32:14
105|ОАО «РТС»| http://rts-tender.ru||NONACTUAL|03.10.2012 16:28:48|09.10.2012 11:28:59
106|Электронная торговая площадка OTC-tender|http://otc-tender.ru||ACTUAL|02.10.2012 11:54:55|02.10.2012 11:54:55
107|Система электронных торгов B2B-Center|http://b2b-center.ru||ACTUAL|03.10.2012 16:29:00|03.10.2012 16:29:01
108|СЭЗ «Рефери»|http://torgi.donland.ru/223||ACTUAL|02.10.2012 11:55:25|02.10.2012 11:55:25
109|Система электронных торгов SETonline.ru|http://setonline.ru||ACTUAL|02.10.2012 11:57:15|02.10.2012 11:57:15
110|ЭТП Lot-online|http://lot-online.ru/||ACTUAL|02.10.2012 11:57:58|02.10.2012 11:57:58
111|"Fabrikant.ru – Электронная торговая площадка"|http://fabrikant.ru||ACTUAL|28.11.2012 11:40:48|28.11.2012 11:40:48
112|Электронная торгово-закупочная площадка ОАО "РЖД"|http://etzp.rzd.ru||ACTUAL|04.10.2012 08:34:49|04.10.2012 08:34:49
113|ОАО «ЕЭТП»|http://com.roseltorg.ru||ACTUAL|02.10.2012 12:01:01|02.10.2012 12:01:01
114|Торговая система Газнефтеторг.ру|http://gazneftetorg.ru||ACTUAL|27.11.2012 09:03:58|27.11.2012 09:03:58
115|ЭТП ГПБ|http://etpgaz.gazprombank.ru||ACTUAL|18.10.2012 10:01:29|18.10.2012 10:01:29
116|ЗАО «Сбербанк-АСТ» (УТП)|http://utp.sberbank-ast.ru||ACTUAL|03.10.2012 16:27:56|03.10.2012 16:27:56
117|Электронная торговая площадка Уральского Федерального Округа|http://urfotender.ru||ACTUAL|04.10.2012 08:34:29|04.10.2012 08:34:29
118|Электронная торговая площадка Дальневосточного Федерального Округа|http://dfotender.ru||ACTUAL|04.10.2012 08:33:55|04.10.2012 08:33:55
119|Электронная торговая площадка Приволжского Федерального Округа|http://pfotender.ru||ACTUAL|04.10.2012 08:34:06|04.10.2012 08:34:06
120|Электронная торговая площадка Сибирского Федерального Округа|http://sibfotender.ru||ACTUAL|04.10.2012 08:34:19|04.10.2012 08:34:19
